DEVICE_MAC,PACKET_DIRECTION,SERVER_ADDRESS,PACKET_LENGTH,DEVICE_NAME
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,rest-hw-u009.immedia-semi.com,123,Blink Mini Camera
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,rest-hw-u009.immedia-semi.com,491,Blink Mini Camera
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,155,HBN Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,155,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,379,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,235,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,1051,Lumiman Bulb
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,235,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,219,HBN Plug
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-35-164-195-39.us-west-2.compute.amazonaws.com,192,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,a3.tuyaus.com,58,Lumiman Bulb
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,a3.tuyaus.com,58,Lumiman Bulb
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,a3.tuyaus.com,145,HBN Plug
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,a3.tuyaus.com,214,HBN Plug
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,ec2-13-235-158-83.ap-south-1.compute.amazonaws.com,58,Lumiman Bulb
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,m2.tuyaus.com,192,HBN Plug
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,58,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,m2.tuyaus.com,1067,HBN Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,a3.tuyaus.com,54,Lumiman Bulb
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,54,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,125,HBN Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,ec2-13-235-158-83.ap-south-1.compute.amazonaws.com,54,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,62,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,62,Amazon Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,54,Amazon Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,198,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,54,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,1414,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,501,Amazon Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,129,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,66,Amazon Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,105,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,125,Lumiman Bulb
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,105,Amazon Plug
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,m2.tuyaus.com,54,Lumiman Bulb
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,m2.tuyaus.com,206,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,204,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,114,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,60,Lumiman Bulb
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,139,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,554,Amazon Plug
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,m2.tuyaus.com,145,Lumiman Bulb
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,568,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,api.amazon.com,431,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,203,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,api.amazon.com,85,Amazon Plug
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,m2.tuyaus.com,123,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,62,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,155,Lumiman Bulb
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,softwareupdates.amazon.com,62,Amazon Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,54,Amazon Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,198,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,softwareupdates.amazon.com,54,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,softwareupdates.amazon.com,1414,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,softwareupdates.amazon.com,482,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,235,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,129,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,1131,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,105,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,softwareupdates.amazon.com,105,Amazon Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,a3.tuyaus.com,145,Lumiman Bulb
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,519,Amazon Plug
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,54,HBN Plug
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,a3.tuyaus.com,411,Lumiman Bulb
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,58,Ultraloq Smart Lock
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,58,Ultraloq Smart Lock
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,62,Rachio Sprinkler Controller
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,62,Rachio Sprinkler Controller
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,54,Ultraloq Smart Lock
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,367,Amazon Plug
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,329,Ultraloq Smart Lock
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,a3.tuyaus.com,283,Lumiman Bulb
70:74:14:c0:db:f0,DEVICE_TO_USER,192.168.4.1,70,Rachio Sprinkler Controller
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,54,Ultraloq Smart Lock
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,154,Ultraloq Smart Lock
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,1450,Ultraloq Smart Lock
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,873,Ultraloq Smart Lock
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,392,Ultraloq Smart Lock
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,100,Ultraloq Smart Lock
50:8a:06:4b:c5:c7,SERVER_TO_DEVICE,a3.tuyaus.com,475,Lumiman Bulb
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,softwareupdates.amazon.com,579,Amazon Plug
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,54,Rachio Sprinkler Controller
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,210,Rachio Sprinkler Controller
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,54,Rachio Sprinkler Controller
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,146,Rachio Sprinkler Controller
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,softwareupdates.amazon.com,85,Amazon Plug
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,ccs-u009.immedia-semi.com,1106,Blink Mini Camera
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,907,Ultraloq Smart Lock
50:8a:06:4b:c5:c7,DEVICE_TO_SERVER,m2.tuyaus.com,395,Lumiman Bulb
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,ccs-u009.immedia-semi.com,1201,Blink Mini Camera
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,62,Amazon Plug
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,449,Ultraloq Smart Lock
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,62,Amazon Plug
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,105,Ultraloq Smart Lock
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,1450,Rachio Sprinkler Controller
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,54,Amazon Plug
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,261,Ultraloq Smart Lock
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,270,Amazon Plug
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,206,HBN Plug
b0:73:9c:e6:9a:b9,DEVICE_TO_SERVER,ccs-u009.immedia-semi.com,235,Blink Mini Camera
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,338,Rachio Sprinkler Controller
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,114,HBN Plug
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,995,Rachio Sprinkler Controller
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,54,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,1450,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,75,Amazon Plug
24:ce:33:24:b5:cb,SERVER_TO_DEVICE,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,438,Amazon Plug
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,87,Ultraloq Smart Lock
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,746,Amazon Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,145,HBN Plug
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,137,Ultraloq Smart Lock
b0:73:9c:e6:9a:b9,SERVER_TO_DEVICE,ccs-u009.immedia-semi.com,123,Blink Mini Camera
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,129,Rachio Sprinkler Controller
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,145,HBN Plug
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,267,HBN Plug
34:ab:95:f6:82:94,SERVER_TO_DEVICE,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,88,Ultraloq Smart Lock
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,138,Ultraloq Smart Lock
7c:f6:66:1f:a8:b6,DEVICE_TO_SERVER,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,139,HBN Plug
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,331,HBN Plug
34:ab:95:f6:82:94,DEVICE_TO_SERVER,a30xqtffg389ek-ats.iot.us-west-2.amazonaws.com,130,Ultraloq Smart Lock
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,129,Amazon Plug
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,323,Rachio Sprinkler Controller
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,60,Rachio Sprinkler Controller
70:74:14:c0:db:f0,DEVICE_TO_SERVER,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,99,Rachio Sprinkler Controller
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,60,Rachio Sprinkler Controller
70:74:14:c0:db:f0,SERVER_TO_DEVICE,A3BMBCWE3HYBWY.iot.us-west-2.amazonaws.com,99,Rachio Sprinkler Controller
7c:f6:66:1f:a8:b6,SERVER_TO_DEVICE,ec2-34-218-107-222.us-west-2.compute.amazonaws.com,123,HBN Plug
24:ce:33:24:b5:cb,DEVICE_TO_SERVER,a1piwaqdydua5q.iot.us-east-1.amazonaws.com,189,Amazon Plug
